,bench mark,,,,,moving average,,,,,moving average with short sell,,,,,moving average with support price,,,,,moving average support volatility,,,,,moving average double support volatility,,,,,,Comparison of Return,,,,Comparison of Max Draw Down,,,,Comparison of Sharpe Ratio,,
ticker,bench mark return,bench mark volatility,bench mark draw_down,bench mark max_draw_down,bench mark sharpe,moving average return,moving average volatility,moving average draw_down,moving average max_draw_down,moving average sharpe,moving average with short sell return,moving average with short sell volatility,moving average with short sell draw_down,moving average with short sell max_draw_down,moving average with short sell sharpe,moving average with support price return,moving average with support price volatility,moving average with support price draw_down,moving average with support price max_draw_down,moving average with support price sharpe,moving average support volatility return,moving average support volatility volatility,moving average support volatility draw_down,moving average support volatility max_draw_down,moving average support volatility sharpe,moving average double support volatility return,moving average double support volatility volatility,moving average double support volatility draw_down,moving average double support volatility max_draw_down,moving average double support volatility sharpe,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff
EFX,0.2728887135,0.2292400316,-0.2258262586,-0.5682293407,0.1064930206,0.7443898186,0.1485574686,-0.1511851138,-0.2840778783,0.3849958355,0.7760486374,0.2288984375,-0.2217621431,-0.3447452864,0.2581775923,0.3598369018,0.1355406464,-0.0890379971,-0.3341626949,0.2301969698,0.4349014705,0.1121754897,-0.080596843,-0.18093039,0.3276519731,0.4649874036,0.1633235352,-0.0393232516,-0.297495152,0.2382216705,,-0.3845529168,0.0750645687,0.0300859331,,-0.0500848166,0.1532323049,-0.116564762,,-0.1547988657,0.0974550033,-0.0894303026
EXPD,1.3304696365,0.3144150371,-0.1010654241,-0.5808438767,0.2806877479,-0.2556657846,0.2051969107,-0.380683656,-0.6538880285,-0.141734112,-0.897554977,0.3197227797,-0.9034532453,-0.9041350283,-0.6370459936,0.2675269245,0.2209574964,-0.1010654241,-0.5761440292,0.1085290304,1.0190530742,0.121610928,0,-0.1359007943,0.5983015129,0.7063014318,0.1459835951,0,-0.3040494166,0.3758201528,,0.5231927091,0.7515261497,-0.3127516424,,0.0777439993,0.4402432349,-0.1681486223,,0.2502631424,0.4897724825,-0.2224813601
FAST,2.3146370246,0.3027513912,-0.0394811055,-0.5195971114,0.4203336748,-0.0990392548,0.2133136398,-0.363290731,-0.6453265684,-0.0486187149,-0.8594131897,0.3042273753,-0.8961262192,-0.903182064,-0.5853580205,0.5762578676,0.2104722985,-0.0394811055,-0.5708667307,0.2211102014,0.3820370604,0.103987837,-0.0620312495,-0.1968126489,0.3161103718,0.1488660384,0.1179658961,-0.0620312495,-0.2667151586,0.1184126465,,0.6752971224,-0.1942208072,-0.233171022,,0.0744598377,0.3740540818,-0.0699025097,,0.2697289163,0.0950001704,-0.1976977253
FDX,0.3768841243,0.2637116714,-0.4539889492,-0.7131043918,0.1231876965,0.9311870407,0.1839677897,-0.0428531399,-0.3917006999,0.3696266183,0.7947401565,0.2635294324,-0.170284717,-0.3838265375,0.2284578815,0.6320250093,0.1467484523,-0.0859139323,-0.3169702723,0.3419528053,0.3013121099,0.1116733786,-0.1301526582,-0.2412009478,0.2388786619,0.2513205994,0.1668897389,-0.0522874232,-0.3928034582,0.1358022111,,-0.2991620314,-0.3307128994,-0.0499915105,,0.0747304276,0.0757693245,-0.1516025104,,-0.027673813,-0.1030741434,-0.1030764508
FLS,4.8031487106,0.3805687435,-0.1079812207,-0.7310483064,0.5049377893,0.6651565412,0.231818573,-0.3111601849,-0.4952931186,0.2255769601,-0.8449539907,0.381792098,-0.8786473517,-0.8790271721,-0.4452668342,3.3540750076,0.264626399,-0.1778028718,-0.3507765616,0.598635135,1.0760601092,0.1249826152,-0.0667417629,-0.2033240851,0.6060833638,1.9900581651,0.198556572,-0.0667417629,-0.2581535196,0.5827250169,,2.6889184664,-2.2780148984,0.9139980559,,0.144516557,0.1474524765,-0.0548294345,,0.3730581749,0.0074482288,-0.0233583469
FLR,2.176944259,0.3721751757,-0.0547550432,-0.6997753553,0.3291081441,1.2421570899,0.2317546975,-0.1665919757,-0.4064461333,0.3627031531,-0.2800646493,0.3764505682,-0.5814878044,-0.5949906919,-0.0858350881,1.5870098382,0.2481690676,-0.0747531735,-0.4502330465,0.4016308087,1.6041312034,0.1435644,-0.013038674,-0.2341007793,0.6993215621,1.3549413851,0.1670327452,-0.013038674,-0.3136445816,0.5351608109,,0.3448527483,0.0171213652,-0.2491898183,,-0.0437869132,0.2161322672,-0.0795438023,,0.0389276556,0.2976907534,-0.1641607512
FTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
FBHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
GD,1.2050098176,0.2074111437,-0.0067104903,-0.6102026227,0.3965520804,1.0753961893,0.1396450616,-0.0067104903,-0.2821808392,0.5421995556,0.5181005382,0.2078900392,-0.0197374323,-0.4423098761,0.2049747288,1.3241598337,0.1437606953,-0.0067104903,-0.2367621455,0.6118331565,0.618662555,0.1248072952,0,-0.1844022937,0.3951560155,0.4057358023,0.1475579024,0,-0.4130873864,0.2346776808,,0.2487636444,-0.7054972787,-0.2129267527,,0.0454186937,0.0523598518,-0.2286850927,,0.0696336009,-0.216677141,-0.1604783347
GE,-0.2090447543,0.2773243687,-0.7093389657,-0.8269038221,-0.0835461486,0.5578018252,0.1517933052,-0.0359607648,-0.3176496334,0.2984729331,0.7764600176,0.2808332494,-0.1497173535,-0.4413154211,0.2105198253,0.2437150733,0.1340035788,-0.0865839814,-0.2757524456,0.1644804049,-0.0632699534,0.097188179,-0.0700069112,-0.2526354606,-0.0670051098,0.143302625,0.1284929989,-0.0083016257,-0.3584176791,0.1048832277,,-0.3140867519,-0.3069850267,0.2065725784,,0.0418971878,0.023116985,-0.1057822185,,-0.1339925282,-0.2314855147,0.1718883375
GWW,1.5381237701,0.2226692305,-0.0725545767,-0.3744924343,0.4382162387,0.7116859133,0.1523859299,-0.0168049793,-0.2734841634,0.3622109329,-0.0474111006,0.2227764733,-0.2842605514,-0.4159811261,-0.0217414099,0.4237536224,0.1628857842,-0.0715088525,-0.3032166035,0.2206856306,0.3097155127,0.1384020333,-0.0661810473,-0.284935325,0.1975201801,0.927928636,0.1775561985,-0.0747800587,-0.2639708885,0.3819586642,,-0.2879322909,-0.1140381097,0.6182131233,,-0.0297324401,0.0182812785,0.0209644365,,-0.1415253023,-0.0231654505,0.1844384841
HON,0.9461900152,0.2408821277,-0.0421917067,-0.6170794511,0.2857243131,0.692098047,0.1557926854,-0.1717147337,-0.3042967732,0.3465024431,0.0473511824,0.2406832998,-0.5637493045,-0.6097708524,0.0192588741,0.5029836089,0.1537524634,-0.0498896764,-0.3243735502,0.2703678819,0.0308219265,0.1201436607,-0.2332908715,-0.3247538549,0.0252950663,0.4985031267,0.1578399834,-0.0593448903,-0.2977147782,0.261397245,,-0.1891144381,-0.4721616824,0.4676812002,,-0.020076777,-0.0003803047,0.0270390767,,-0.0761345612,-0.2450728156,0.2361021787
ITW,0.7066348002,0.2250958043,-0.1282425205,-0.5488540848,0.2438258524,0.9973897134,0.1460450242,0,-0.2207994873,0.4902861646,0.6676419871,0.2261781352,-0.0428131586,-0.4214809233,0.2318961031,0.8365271612,0.1367870653,-0.0005182425,-0.2345425522,0.4579920617,0.3352525424,0.1141288986,-0.0023926812,-0.2262537494,0.2569213929,0.0995098839,0.1538032538,-0.0023926812,-0.433502619,0.0619477261,,-0.1608625522,-0.5012746188,-0.2357426585,,-0.0137430649,0.0082888028,-0.2072488696,,-0.0322941029,-0.2010706688,-0.1949736668
IR,0.7635350337,0.3137634875,-0.4691924729,-0.7793281052,0.1859622264,0.7687498586,0.2032376198,-0.1723171897,-0.4018701241,0.2886304847,0.2770157099,0.3139131863,-0.5385433026,-0.6435898659,0.0788242935,0.3985807002,0.1910560326,-0.291534833,-0.5228450594,0.1784865291,-0.1832150594,0.1196010099,-0.3032347022,-0.3322158454,-0.1674450945,0.3628401085,0.1487794496,-0.0896501458,-0.256236667,0.2112420126,,-0.3701691584,-0.5817957596,0.5460551679,,-0.1209749353,0.190629214,0.0759791784,,-0.1101439556,-0.3459316236,0.3786871071
JBHT,2.8196656163,0.3185552638,0,-0.5306664507,0.4500009635,-0.3532565654,0.2203913652,-0.3953233222,-0.5910881823,-0.1934190666,-0.949492572,0.3190680925,-0.9508504168,-0.9636361119,-0.8086933658,0.6012539273,0.2393937885,0,-0.4731449805,0.201278285,0,0,0,0,0,0,0,0,0,0,,0.9545104927,-0.6012539273,0,,0.1179432018,0.4731449805,0,,0.3946973516,-0.201278285,0
JCI,0.4914825784,0.261416791,-0.4151977175,-0.7007503044,0.1559588673,0.3813075962,0.1662583071,-0.1816320761,-0.376843754,0.1973863826,-0.1567206027,0.2638081651,-0.4724509436,-0.6034246322,-0.0640409977,1.2215972025,0.1480408814,-0.0540540541,-0.2763314718,0.5610638365,0.0767007395,0.091847231,-0.1431142216,-0.2503511481,0.0807269543,-0.2464683998,0.1595791378,-0.2832833532,-0.3784466914,-0.1747771248,,0.8402896063,-1.144896463,-0.3231691393,,0.1005122822,0.0259803237,-0.1280955433,,0.3636774539,-0.4803368822,-0.2555040791
KSU,2.0046403712,0.3574114241,-0.1686001547,-0.7705454545,0.3252458754,0.1968924357,0.225151746,-0.1870653205,-0.4841708311,0.0805146911,-0.804682493,0.3598185243,-0.8335216552,-0.8335216552,-0.4185974825,1.8937771529,0.2442275484,-0.1223741374,-0.3880392605,0.4588326921,0.1760067883,0.0918815437,-0.0255892256,-0.1873568727,0.177816004,0.2726709777,0.1396541992,-0.0255892256,-0.3741479544,0.1746810763,,1.6968847172,-1.7177703646,0.0966641894,,0.0961315706,0.2006823878,-0.1867910817,,0.378318001,-0.2810166881,-0.0031349277
LLL,1.1030489328,0.2049916403,-0.0628457623,-0.4891860553,0.376306517,1.1622432564,0.1348488215,-0.0245629564,-0.1745322188,0.5942400917,0.709415156,0.2048059506,-0.2682610034,-0.4281885519,0.2688195221,1.2861121601,0.1472460322,-0.0745885171,-0.1814573319,0.5851701117,0.9165326337,0.1319460313,-0.0017895893,-0.1541916168,0.5091968791,0.7775950052,0.1625199475,-0.0017895893,-0.3046029487,0.3641927571,,0.1238689037,-0.3695795264,-0.1389376285,,-0.0069251131,0.0272657151,-0.1504113319,,-0.00906998,-0.0759732326,-0.145004122
LMT,0.8622445414,0.2076096907,-0.1020410047,-0.5056790474,0.3088755495,1.1806755869,0.1319893297,-0.0484817997,-0.1594853749,0.6140607694,0.9805142435,0.2065112735,-0.0628416499,-0.3030633421,0.3423318424,0.6680426448,0.1349234367,-0.0832400202,-0.2729747594,0.3889250241,0.9381912695,0.126204223,-0.0224596707,-0.1944796488,0.5418674429,1.1952505905,0.1460888478,-0.0779656075,-0.2685843298,0.5597248562,,-0.5126329421,0.2701486247,0.257059321,,-0.1134893845,0.0784951106,-0.074104681,,-0.2251357453,0.1529424188,0.0178574133
MAS,-0.2202008877,0.3508666461,-0.8125396381,-0.8872899844,-0.0699850976,0.0743960406,0.2462062491,-0.2681148983,-0.4498893607,0.0292388455,-0.2250248643,0.3521538993,-0.4879267443,-0.7055126328,-0.0714469114,0.2460446628,0.1815985362,-0.1129007852,-0.4501638239,0.12242479,-0.0187016827,0.0924399421,-0.039742148,-0.3153591004,-0.0203953255,-0.0536848256,0.1431093506,-0.0536848256,-0.3397664494,-0.0384361318,,0.1716486222,-0.2647463455,-0.0349831429,,-0.0002744632,0.1348047235,-0.024407349,,0.0931859445,-0.1428201155,-0.0180408063
NLSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
NSC,2.4095164359,0.2873841934,-0.0619559652,-0.6287392484,0.4538913721,0.6135909662,0.1926153072,-0.0509783728,-0.489273622,0.254337255,-0.4433035951,0.287215758,-0.5002468861,-0.7335525586,-0.1980010287,0.7116687157,0.2078467228,-0.0611309221,-0.4735302165,0.2655552578,0.2239545611,0.1106869641,-0.1520098716,-0.2004719999,0.1843581076,0.9080722303,0.1367144945,-0.1201216635,-0.2781168265,0.4879852392,,0.0980777495,-0.4877141546,0.6841176692,,0.0157434055,0.2730582166,-0.0776448266,,0.0112180028,-0.0811971502,0.3036271316
NOC,0.6695232693,0.2005475376,-0.1437749109,-0.5868217805,0.2621246262,0.7104548212,0.1355380743,-0.0408111505,-0.2906541591,0.4066751226,0.4088408712,0.1996521157,-0.1283492535,-0.3579892497,0.1745874952,0.7439159236,0.123425782,-0.0696859834,-0.2824952819,0.4631552112,0.5187518117,0.1084483432,-0.0906977827,-0.1672324098,0.3933384807,0.0656174185,0.1423753239,-0.0993623804,-0.5180493169,0.0447627988,,0.0334611024,-0.2251641119,-0.4531343932,,0.0081588772,0.1152628721,-0.3508169071,,0.0564800886,-0.0698167305,-0.3485756819
PCAR,1.5471136391,0.328294156,-0.0164251208,-0.6611239238,0.2984069382,-0.0009078986,0.2200701081,-0.2123056337,-0.5041733655,-0.0004125533,-0.7823938548,0.3304070355,-0.8306024414,-0.8593154408,-0.4279407496,0.7619862472,0.2004513453,-0.0164251208,-0.5434211489,0.2906201996,0.7007120147,0.1370234814,-0.1932328112,-0.24078202,0.3978709155,1.2382752528,0.1529556117,-0.1196891564,-0.2333528734,0.5483316683,,0.7628941458,-0.0612742325,0.5375632381,,-0.0392477834,0.3026391289,0.0074291466,,0.2910327529,0.1072507159,0.1504607528
PH,1.5793923296,0.2742327944,0,-0.6691288743,0.3622770293,0.8973471103,0.1790439302,-0.0167622408,-0.3231261967,0.3692601128,-0.0946517177,0.2750053479,-0.2462207506,-0.6927210091,-0.0359641969,0.9388719594,0.187665788,-0.0169124778,-0.3119908823,0.3646027386,0.2178057313,0.1404045129,-0.1563051119,-0.2441471145,0.1416796093,0.6055865903,0.1590006841,-0.1211143904,-0.2888278506,0.3048284391,,0.0415248491,-0.7210662281,0.387780859,,0.0111353144,0.0678437678,-0.0446807361,,-0.0046573742,-0.2229231293,0.1631488298
PNR,-0.013446966,0.3572832024,-0.5130398102,-0.7033573409,-0.0037851288,-0.6945803221,0.2925804746,-0.7037129433,-0.7118980671,-0.3821203872,-0.9425186761,0.3556414478,-0.9440392374,-0.9447923306,-0.6983808263,-0.5882638845,0.2858624114,-0.6954963995,-0.7894018478,-0.2969315282,-0.466995778,0.2470094645,-0.466995778,-0.6173120579,-0.2467930456,-0.5415335032,0.2737128035,-0.6101885371,-0.7201220171,-0.2739898363,,0.1063164376,0.1212681065,-0.0745377252,,-0.0775037807,0.1720897899,-0.1028099592,,0.085188859,0.0501384826,-0.0271967907
PWR,1.8979328165,0.4350895542,-0.3979328165,-0.6956274844,0.2579218805,0.2967007222,0.2600227298,-0.2427023143,-0.5723019726,0.1011916683,-0.8342616796,0.4365461958,-0.8625620534,-0.89056258,-0.3767023088,1.145015685,0.3080634028,-0.4025641026,-0.5447642208,0.2573146593,0,0,0,0,0,0,0,0,0,0,,0.8483149628,-1.145015685,0,,0.0275377518,0.5447642208,0,,0.156122991,-0.2573146593,0
